code,term
1086991000119103,Gonococcal abscess of brain
109903009,Late effects of pyogenic intracranial abscess
1163131009,Abscess of cerebrum caused by Aspergillus
1177019009,Abscess of temporal lobe
1363550002,Abscess of intracranial subdural space caused by fungus
186217006,Tuberculous abscess of brain
187080002,Pheohyphomycotic brain abscess
192737006,Intracranial and intraspinal abscesses
192738001,Intracranial abscess(& [brain])
192739009,Cerebral intracranial abscess
192740006,Cerebellar intracranial abscess
192741005,Otogenic intracranial abscess
192744002,Subdural intracranial abscess
192745001,Tuberculous intracranial abscess
192746000,Intracranial abscess NOS
192775006,Late effects of intracranial abscess or pyogenic infection
230203007,Intracranial pyogenic abscess
230206004,Subdural supratentorial pyogenic abscess
230207008,Subdural infratentorial pyogenic abscess
230208003,Cerebral pyogenic abscess
230209006,Actinomycotic brain abscess
230210001,Brainstem pyogenic abscess
230211002,Multiple intracranial pyogenic abscesses
230213004,Candidal brain abscess
27614006,Intracranial abscess
27908001,Amebic brain abscess
303061003,Cerebellar pyogenic abscess
428544003,Abscess of medulla oblongata
441806004,Abscess of brain
445151006,Subarachnoid intracranial abscess
44823006,Intracranial embolic abscess
586531000000101,Intracranial abscess NOS
60404007,Cerebral abscess
62206004,Abscess of pituitary
724543006,Infection causing multiple abscesses of brain
735555003,Deep abscess of cerebral hemisphere
735556002,Abscess of corpus callosum
79897009,Cerebellar abscess
838332000,Abscess of brainstem
838371002,Abscess of cerebral hemisphere lobe
838373004,Abscess of frontal lobe
838392002,Abscess of parietal lobe
838393007,Abscess of pons cerebri
838394001,Abscess of midbrain
838395000,Abscess of occipital lobe
