code,term
10491005,Meningitis caused by reactivation of Varicellovirus humanalpha3
10698009,Iridocyclitis caused by reactivation of Varicellovirus humanalpha3
1078254009,Recurrent herpes zoster
1087131000119102,Scleritis caused by reactivation of Varicellovirus humanalpha3
1163465001,Dacryoadenitis caused by reactivation of Varicellovirus humanalpha3
1163483009,Infection of eyelid due to herpes zoster
12551000132107,Disorder of cranial nerve caused by reactivation of Varicellovirus humanalpha3
12561000132105,Herpes zoster with bacterial infection
15680281000119103,Keratoconjunctivitis of bilateral eyes caused by Human alphaherpesvirus 3
15681361000119105,Infection of skin of bilateral eyelids due to herpes zoster
15685081000119102,Disorder of corneal epithelium of right eye caused by reactivation of Varicellovirus humanalpha3
15685121000119100,Disorder of corneal epithelium of left eye caused by reactivation of Varicellovirus humanalpha3
15685161000119105,Disorder of corneal epithelium of bilateral eyes caused by reactivation of Varicellovirus humanalpha3
15685201000119100,Interstitial keratitis of left eye caused by Herpes zoster virus
15685241000119103,Interstitial keratitis of bilateral eyes caused by Human alphaherpesvirus 3
15685281000119108,Interstitial keratitis of right eye caused by Herpes zoster virus
15989271000119107,Conjunctivitis of right eye caused by herpes zoster virus
15989311000119107,Conjunctivitis of bilateral eyes caused by herpes zoster virus
15989351000119108,Conjunctivitis of left eye caused by herpes zoster virus
15992271000119100,Keratitis of right eye due to herpes zoster
15992311000119100,Keratitis of left eye due to herpes zoster
15992351000119104,Keratitis of bilateral eyes caused by Human herpesvirus 3
16000751000119105,Scleritis of bilateral eyes caused by reactivation of Varicellovirus humanalpha3
16000791000119100,Scleritis of left eye caused by reactivation of Varicellovirus humanalpha3
16000831000119106,Scleritis of right eye caused by reactivation of Varicellovirus humanalpha3
186514003,Herpes zoster [organism] or [infection - shingles]
21954000,Herpes zoster auricularis
230198004,Varicella transverse myelitis
230536009,Acute disorder of trigeminal nerve caused by reactivation of Varicellovirus humanalpha3
232400003,Acute pharyngitis caused by reactivation of Varicellovirus humanalpha3
235059009,Infection of oral mucosa caused by reactivation of Varicellovirus humanalpha3
239981000000102,Shingles exanthem
240470005,Herpes zoster involving thoracic dermatome
240471009,Herpes zoster involving lumbar dermatome
240472002,Maxillary herpes zoster infection
240473007,Mandibular herpes zoster infection
240474001,Multidermatomal herpes zoster infection
331071000119101,Iritis caused by reactivation of Varicellovirus humanalpha3
36292003,Otitis externa caused by Herpes zoster
397573005,Keratitis caused by reactivation of Varicellovirus humanalpha3
400020001,Dermatitis caused by reactivation of Varicellovirus humanalpha3
402897003,Herpes zoster involving cervical dermatome
402898008,Herpes zoster involving sacral dermatome
410500004,Herpes zoster involving tip of nose
410509003,Conjunctivitis caused by reactivation of Varicellovirus humanalpha3
416718008,Infection of skin of eyelid due to herpes zoster
421029004,Retinitis caused by reactivation of Varicellovirus humanalpha3
422127002,Herpes zoster with acquired immunodeficiency syndrome
422446008,Herpes zoster subepithelial infiltrates
422471006,Acute retinal necrosis caused by reactivation of Varicellovirus humanalpha3
422666006,Disorder of corneal epithelium caused by reactivation of Varicellovirus humanalpha3
423628002,Acute disorder of nerve caused by reactivation of Varicellovirus humanalpha3
424353002,Corneal haze caused by reactivation of Varicellovirus humanalpha3
424435009,Herpes zoster pseudodendrites
42448002,Herpes zoster keratoconjunctivitis
424801004,Corneal endotheliitis caused by reactivation of Varicellovirus humanalpha3
424941009,Radiculitis caused by reactivation of Varicellovirus humanalpha3
426570007,Interstitial keratitis caused by reactivation of Varicellovirus humanalpha3
428633000,Exanthem caused by reactivation of Varicellovirus humanalpha3
449783002,Zoster sine herpete
4740000,Herpes zoster
512281000000101,Hutchinson's sign - herpes zoster involving nose tip 
55560002,Disseminated herpes zoster
713733003,Infection caused by herpes zoster virus co-occurrent with human immunodeficiency virus infection
713964006,Multidermatomal infection caused by Herpes zoster co-occurrent with human immunodeficiency virus infection
838357005,Acute disorder of glossopharyngeal nerve caused by reactivation of Varicellovirus humanalpha3
87014001,AIDS with herpes zoster
87513003,Herpes zoster ophthalmicus
98541000119101,Myelitis caused by reactivation of Varicellovirus humanalpha3
