code,term
106016005,"Intracranial sinus thrombosis, embolism AND/OR inflammation"
1078223005,Thrombosis of cerebral venous sinus due to and following surgical procedure
15742000,Thrombosis of inferior sagittal sinus
18322005,Thrombosis of torcular Herophili
192759008,Cerebral venous sinus thrombosis
192770001,Thrombophlebitis of cavernous sinus
192772009,Thrombophlebitis lateral venous sinus
195229008,Non-pyogenic venous sinus thrombosis
21258007,Thrombosis of lateral venous sinus
230222003,Septic thrombophlebitis of straight sinus
230223008,Septic thrombophlebitis of sigmoid sinus
230720005,Cerebral venous thrombosis of straight sinus
230721009,Cerebral venous thrombosis of sigmoid sinus
26954004,Thrombophlebitis of superior sagittal sinus
302879007,Septic thrombophlebitis of cavernous sinus
302880005,Septic thrombophlebitis of sagittal sinus
302881009,Septic thrombophlebitis of lateral sinus
3681008,Thrombophlebitis of torcular Herophili
42970005,Nonpyogenic thrombosis of intracranial venous sinus
48248005,Thrombophlebitis of inferior sagittal sinus
70607008,Thrombosis of superior sagittal sinus
8166000,Thrombophlebitis of basilar sinus
88922007,Thrombosis of basilar sinus
89980009,Thrombosis of cavernous venous sinus
