code,term
A170,Tuberculous meningitis G01
A203,Plague meningitis
A321,Listerial meningitis and meningoencephalitis
A390,Meningococcal meningitis G01
A87,Viral meningitis
A870,Enteroviral meningitis G02.0
A871,Adenoviral meningitis G02.0
A872,Lymphocytic choriomeningitis
A878,Other viral meningitis
A879,"Viral meningitis, unspecified"
B003,Herpesviral meningitis G02.0
B010,Varicella meningitis G02.0
B021,Zoster meningitis G02.0
B051,Measles complicated by meningitis G02.0
B261,Mumps meningitis G02.0
B375,Candidal meningitis G02.1
B384,Coccidioidomycosis meningitis G02.1
G00,"Bacterial meningitis, not elsewhere classified"
G000,Haemophilus meningitis
G001,Pneumococcal meningitis
G002,Streptococcal meningitis
G003,Staphylococcal meningitis
G008,Other bacterial meningitis
G009,"Bacterial meningitis, unspecified"
G01,Meningitis in bacterial diseases classified elsewhere
G02,Meningitis in other infectious and parasitic diseases classified elsewhere
G020,Meningitis in viral diseases classified elsewhere
G021,Meningitis in mycoses
G028,Meningitis in other specified infectious and parasitic diseases classified elsewhere
G03,Meningitis due to other and unspecified causes
G030,Nonpyogenic meningitis
G038,Meningitis due to other specified causes
G039,"Meningitis, unspecified"
