code,term
1078253003,Recurrent pyelonephritis
1086071000119103,Diphtheria tubulointerstitial nephropathy
1092371000119103,Pyelonephritis caused by Salmonella
1092831000119109,Toxoplasma tubulointerstitial nephropathy
123611003,Subacute pyelonephritis
123754002,Focal pyelonephritis
123755001,Diffuse pyelonephritis
155860007,Infection of kidney (& [pyelonephritis &/or pyelitis])
155862004,(Acute pyelonephritis) or (acute pyonephrosis)
16271000119108,Pyelonephritis in pregnancy
16751003,Acute tubulointerstitial nephritis associated with systemic infection
197766000,Calculous pyelonephritis
197768004,Acute pyelonephritis without medullary necrosis
197769007,Acute pyelonephritis with medullary necrosis
197770008,Acute pyonephrosis
197771007,Acute pyelonephritis NOS
197777006,Xanthogranulomatous pyelonephritis
197778001,Pyelonephritis and pyonephrosis unspecified
197779009,Pyelonephritis unspecified
197782004,Pyelonephritis associated with another disorder
197784003,Unspecified pyelonephritis NOS
22352007,Acute bacterial tubulointerstitial nephritis
236373001,Emphysematous pyelonephritis
236375008,Emphysematous pyelitis
236378005,Candida pyelonephritis
236590008,Cytomegalovirus-induced glomerulonephritis
23754003,Pyelonephritis due to kidney stone
266618004,Infection of kidney (& [pyelonephritis &/or pyelitis])
266620001,(Acute pyelonephritis) or (acute pyonephrosis)
27810000,Acute viral tubulointerstitial nephritis
36689008,Acute pyelonephritis
371093006,Urosepsis
38898003,Xanthogranulomatous pyelonephritis
4181000119109,Pyelonephritis due to obstruction of urinary tract
42231000009109,Bacterial nephritis
423322005,Recurrent pyelonephritis due to obstruction of urinary tract
441241000000103,Pyelonephritis or interstitial nephritis associated renal failure - European Dialysis and Transplant Association
45816000,Pyelonephritis
48631008,Pyonephrosis
577551000000104,Acute pyelonephritis NOS
601491000000104,Pyelonephritis and pyonephrosis unspecified
601501000000105,Pyelonephritis unspecified
601531000000104,Unspecified pyelonephritis NOS
66993009,Acute infectious tubulointerstitial nephritis
7448003,Acute pyonephrosis with renal medullary necrosis
822841000000100,Urosepsis
834751000000103,Urosepsis
838353009,Acute pyelonephritis caused by bacterium
85495007,Acute pyonephrosis without renal medullary necrosis
855191000000109,Candida pyelonephritis
91195006,Acute fungal tubulointerstitial nephritis
938351000000102,Emphysematous pyelonephritis
95889002,Mycoplasmal pyelonephritis
