code,term
10491005,Meningitis caused by reactivation of Varicellovirus humanalpha3
1084741000119103,Meningoencephalitis due to Blastomyces dermatitidis
1084801000119107,Meningitis caused by Sporothrix schenkii
1085361000119104,Meningitis due to Cytomegaloviral Mononucleosis
1089781000119109,Meningitis due to Chagas disease
1089791000119107,Meningitis due to infectious mononucleosis
1089811000119106,Meningoencephalitis caused by Acanthamoeba
1089821000119104,Meningoencephalitis due to Chagas disease
1092351000119107,Meningitis caused by Rubella virus
109902004,Acute purulent meningitis
111850006,Meningitis caused by Adenovirus
111878007,Meningitis caused by coxsackie virus
1149095004,Meningitis caused by Streptococcus suis
1163130005,Meningitis caused by Aspergillus
1163132002,Meningitis caused by Gram positive aerobic rod
1163468004,Meningitis caused by Lassa virus
1163469007,Meningitis caused by Machupo virus
1163470008,Meningitis caused by genus Arenavirus
1163471007,Meningitis caused by Junin virus
1163540001,Meningitis caused by Toxocara
1163542009,Meningitis caused by Strongyloides stercoralis
11676005,Tuberculous leptomeningitis
1179379002,Meningitis caused by Human alphaherpesvirus 1
1179380004,Meningitis caused by Human alphaherpesvirus 2
12166008,Staphylococcal meningitis
128211000119102,Meningoencephalitis due to free-living ameba
1303591007,Meningitis caused by Citrobacter
131411000119107,Meningitis caused by arbovirus
13225007,Meningoencephalitis caused by Rubella virus
1342321009,Empyema of subdural space
1371426006,Listeria meningitis caused by Listeria monocytogenes
14232007,Cryptococcal meningitis
14968007,Syphilitic meningitis
151004,Gonococcal meningitis
154307005,Meningococcal meningitis
154321007,Viral: [other CNS disease] or [encephalitis] or [meningitis (& [NOS])]
154323005,Enteroviral meningitis
154983000,Meningitis
154984006,Meningitis: [bacterial] or [viral]
154985007,Viral meningitis
154986008,Other meningitis NOS &/or arachnoiditis
170528006,Notification of acute meningitis
17949000,Meningoencephalitis due to acquired toxoplasmosis
186097003,Salmonella meningitis
186214004,Tuberculous meningitis
186215003,Tuberculous meningitis NOS
186284005,Plague meningitis
186363003,Meningococcal meningitis
186372006,Meningococcal meningitis with acute meningococcal septicaemia
186373001,Meningococcal meningitis with meningococcal septicaemia
186487000,Coxsackie viral meningitis
186488005,Echovirus meningitis
186489002,Other specified viral meningitis
186490006,Meningitis: [aseptic] or [viral NOS]
186495001,Lymphocytic choriomeningitis
186515002,Meningitis due to herpes zoster virus
186550005,Herpes simplex meningitis
186561002,Meningitis caused by Measles morbillivirus
186645006,Mumps meningitis
186838009,Congenital syphilitic meningitis
186863009,Acute secondary syphilitic meningitis
186887006,Syphilitic meningitis
186935006,Gonococcal meningitis
186956008,Leptospiral meningitis
187038001,Histoplasma capsulatum with meningitis
187048004,Histoplasma duboisii with meningitis
187057005,Histoplasmosis with meningitis
187092002,Cryptococcal meningitis
187401009,[X]Other viral meningitis
187403007,"[X]Viral meningitis, unspecified"
192643004,Haemophilus meningitis
192644005,Meningococcal meningitis
192645006,Meningitis in other bacterial disease classified elsewhere
192646007,Meningitis due to neurosyphilis
192647003,Secondary syphilitic meningitis
192648008,Meningitis due to typhoid fever
192649000,Actinomycotic meningitis
192650000,Meningitis caused by Bordetella pertussis
192651001,Unspecified meningitis in bacterial disease EC
192652008,Other specified bacterial meningitis
192653003,Aerobacter meningitis
192654009,Meningitis caused by bacillus pyocyaneus
192655005,Escherichia coli meningitis
192656006,Meningitis caused by Friedlander bacillus
192657002,Klebsiella meningitis
192659004,Morganella morganii meningitis
192660009,Pseudomonas meningitis
192661008,Other specified bacterial meningitis NOS
192662001,Bacterial meningitis NOS
192663006,Meningitis due to other organisms
192665004,Other fungal meningitis
192666003,Meningitis due to viral organisms EC
192667007,Meningitis caused by echovirus
192668002,Lymphocytic choriomeningitis
192669005,Adenoviral meningitis
192670006,Meningitis due to herpes zoster virus
192671005,Other viral meningitis
192672003,Meningitis: [acute aseptic] or [viral NOS]
192674002,Other non-bacterial meningitis
192675001,Leptospiral meningitis
192676000,Other non-bacterial meningitis NOS
192677009,Meningitis due to organism NOS
192678004,Meningitis of unspecified cause
192679007,Non-pyogenic meningitis
192680005,Benign recurrent endothelioleucocytic meningitis
192681009,Unspecified meningitis
194445003,[X]Other bacterial meningitis
194446002,[X]Meningitis in viral diseases classified elsewhere
194447006,[X]Meningitis in mycoses classified elsewhere
194448001,[X]Meningitis in other specified infectious and parasitic diseases classified elsewhere
194449009,[X]Meningitis due to other specified causes
21468000,Nonpyogenic meningitis
230142004,Meningitis caused by coxsackievirus A virus
230143009,Meningitis caused by coxsackievirus B virus
230146001,Post measles meningitis
230147005,Meningitis due to herpes zoster virus
230148000,Staphylococcus aureus meningitis
230149008,Staphylococcus epidermidis meningitis
230150008,Meningitis in Lyme disease
230151007,Listeria meningitis
230152000,Late congenital syphilitic meningitis
230153005,Parasitic meningitis
230206004,Subdural supratentorial pyogenic abscess
